iter	Logloss	Accuracy
519	0.1703874799	0.9551569507
520	0.1696180753	0.9551569507
521	0.1694508533	0.9551569507
522	0.1688967663	0.9551569507
523	0.1686983206	0.9551569507
524	0.1685725492	0.9551569507
525	0.1684760119	0.9551569507
526	0.1679040284	0.9551569507
527	0.1676918068	0.9551569507
528	0.1671928397	0.9551569507
529	0.1668391864	0.9551569507
530	0.1666213412	0.9551569507
531	0.1665090749	0.9551569507
532	0.166428138	0.9551569507
533	0.1664066907	0.9551569507
534	0.1660934603	0.9551569507
535	0.1660541537	0.9551569507
536	0.1658149925	0.9551569507
537	0.1655356465	0.9551569507
538	0.1653447647	0.9551569507
539	0.165134671	0.9551569507
540	0.1648490429	0.9551569507
541	0.1646730169	0.9551569507
542	0.164611953	0.9551569507
543	0.1645645818	0.9551569507
544	0.1644325132	0.9551569507
545	0.1640932752	0.9573991031
546	0.1639611571	0.9573991031
547	0.163894738	0.9573991031
548	0.1638579873	0.9573991031
549	0.1635704807	0.9573991031
550	0.1635154932	0.9573991031
551	0.1627474787	0.9596412556
552	0.1627076134	0.9596412556
553	0.1626220537	0.9596412556
554	0.1625438533	0.9596412556
555	0.1621282316	0.9596412556
556	0.1620188246	0.9596412556
557	0.1619508522	0.9596412556
558	0.1614610681	0.9596412556
559	0.1613544887	0.9596412556
560	0.1609275557	0.9618834081
561	0.1605615263	0.9596412556
562	0.1603135945	0.9618834081
563	0.1599891031	0.9618834081
564	0.1599569219	0.9618834081
565	0.1596222269	0.9618834081
566	0.159108726	0.9618834081
567	0.1590884329	0.9618834081
568	0.1586975601	0.9618834081
569	0.1585830069	0.9618834081
570	0.1582343782	0.9618834081
571	0.157965332	0.9618834081
572	0.1577220763	0.9618834081
573	0.1574197399	0.9618834081
574	0.157235525	0.9618834081
575	0.1572052607	0.9618834081
576	0.1571425525	0.9618834081
577	0.1568915055	0.9618834081
578	0.1567953799	0.9618834081
579	0.1567162311	0.9618834081
580	0.156682514	0.9618834081
581	0.1560472701	0.9618834081
582	0.155588477	0.9618834081
583	0.1555356322	0.9618834081
584	0.1552676265	0.9618834081
585	0.154991218	0.9641255605
586	0.154839324	0.9641255605
587	0.1547408562	0.9641255605
588	0.1545344685	0.9641255605
589	0.1541853449	0.9641255605
590	0.1541290294	0.9641255605
591	0.154080051	0.9641255605
592	0.1540306837	0.9641255605
593	0.1537052356	0.9641255605
594	0.1534659623	0.9641255605
595	0.1534452938	0.9641255605
596	0.1531832807	0.9641255605
597	0.1528432921	0.9641255605
598	0.1527827102	0.9641255605
599	0.1526810454	0.9641255605
600	0.1523631923	0.9641255605
601	0.1523021056	0.9641255605
602	0.1522366935	0.9641255605
603	0.1518963204	0.9641255605
604	0.1518392177	0.9641255605
605	0.1513936192	0.9641255605
606	0.1512323346	0.9641255605
607	0.1508534023	0.9641255605
608	0.1508158425	0.9641255605
609	0.1504597954	0.9641255605
610	0.1504524306	0.9641255605
611	0.1503233315	0.9641255605
612	0.1502850702	0.9641255605
613	0.150214283	0.9641255605
614	0.1501216665	0.9641255605
615	0.149938996	0.9641255605
616	0.1497676973	0.9641255605
617	0.1495960164	0.966367713
618	0.1495778416	0.966367713
619	0.1495534844	0.966367713
620	0.149386971	0.966367713
621	0.1492591665	0.966367713
622	0.1492150032	0.966367713
623	0.1490893424	0.966367713
624	0.1490753501	0.966367713
625	0.1489205438	0.966367713
626	0.1488648563	0.966367713
627	0.1486717197	0.966367713
628	0.1484208861	0.966367713
629	0.1481695789	0.966367713
630	0.1477399412	0.9686098655
631	0.1476720934	0.9686098655
632	0.1474399933	0.9686098655
633	0.1471626776	0.9686098655
